Date,Close,High,Low,Open,Volume,MA5,MA20,RSI14,Return,Target_Up
2024-06-12,168.1126251220703,171.10596080242811,166.7131419645594,168.48193729681122,20309500,,,,,1
2024-06-13,168.57476806640625,169.70568787529362,166.23493244013397,168.61375863254622,15591800,,,,0.002749007958208871,0
2024-06-14,168.18478393554688,169.28645707399454,166.08869518441867,167.6875761292066,9192500,,,,-0.002313419352923285,1
2024-06-17,172.7962188720703,174.1903585681407,169.13048060595906,173.38116666101973,18593700,,,,0.027418859355853975,1
2024-06-18,175.1847686767578,180.2251433274359,174.50232223128998,175.50649661738197,27155100,170.5706329345703,,,0.013822928651325839,0
2024-06-20,170.9828338623047,178.57751450290175,169.14996492862528,178.0023106996613,28403200,171.1446746826172,,,-0.023985731443390113,0
2024-06-21,169.59844970703125,173.03018491434509,167.89232602611256,168.37978993494644,20175600,171.3494110107422,,,-0.008096626567719145,0
2024-06-24,163.60263061523438,167.12212054413385,162.92992805765536,166.15693667331817,19741700,170.4329803466797,,,-0.035353030066926916,1
2024-06-25,168.27255249023438,168.3115430586125,164.7725502105095,165.688984767688,13346800,169.5282470703125,,,0.028544295757583882,0
2024-06-26,167.75584411621094,169.33522249001356,165.93271890103657,167.80457860826672,11901500,168.04246215820314,,,-0.003070663434866616,0
2024-06-27,167.3268585205078,171.0803215226249,166.8588824783673,169.43269120527114,10864600,167.31126708984374,,,-0.0025572020930964,1
2024-06-28,169.45217895507812,172.38672081472734,168.47725126774557,168.47725126774557,11216100,167.28201293945312,,,0.012701609612241871,0
2024-07-01,168.00930786132812,170.90484458816468,166.17643885546053,169.87142351080274,10717000,168.16334838867186,,,-0.008514916141223017,1
2024-07-02,171.29481506347656,172.27950168282808,166.7419039275025,166.8394026600265,10655500,168.7678009033203,,,0.019555507036909114,1
2024-07-03,177.91458129882812,177.91458129882812,173.42016350229426,173.52740615638058,11808700,170.79954833984374,,62.722103724652584,0.03864545598124769,1
2024-07-05,179.37696838378906,180.43963609835424,177.72933804817328,179.52320160094303,11372900,173.2095703125,,63.66551528308246,0.008219602206210874,1
2024-07-08,181.95077514648438,187.96607772442144,180.4883834860914,185.2362769831111,22582400,175.70928955078125,,66.50305707018822,0.014348591047589121,0
2024-07-09,179.89366149902344,183.71537625814395,177.92430340015795,183.3741456162052,19935200,178.0861602783203,,59.06371008474101,-0.011305880097541743,1
2024-07-10,186.2599639892578,186.62068252421054,182.01902199893306,183.55940974797423,19293500,181.07919006347657,,62.8390708060717,0.03538925405811999,0
2024-07-11,179.87417602539062,188.619279432007,178.42152827278252,188.24880211394995,21584200,181.47110900878906,172.72093811035157,59.8106637510384,-0.03428427573536674,1
2024-07-12,182.65272521972656,185.60675519795475,178.16805148894338,178.4800355185918,19220300,182.12626037597656,173.44794311523438,63.97409306621027,0.015447182334521026,0
2024-07-15,180.57611083984375,185.29475736513965,179.46469385039444,183.94935237088453,15683100,181.85132751464843,174.04801025390626,69.83363180758431,-0.011369194614450406,1
2024-07-16,181.37557983398438,184.83657685162393,180.38116408761044,183.54967976022624,16663300,182.14771118164063,174.70755004882812,66.83363339250877,0.004427324248054587,0
2024-07-17,166.9076385498047,172.15275494223155,166.23493597888387,170.82685252198385,45052600,178.27724609375,174.41312103271486,49.1978449116804,-0.07976785682737664,1
2024-07-18,167.56082153320312,174.20983568677528,160.3853529593284,171.0998138972797,52903600,175.8145751953125,174.03192367553712,50.22032647921073,0.003913439726747514,0
2024-07-19,161.61380004882812,166.24470751366835,161.0775867355502,164.92854891527878,22585300,171.6067901611328,173.56347198486327,43.114120171535745,-0.035491718350142865,1
2024-07-22,165.10401916503906,166.5956574211671,162.01348512982815,162.4327117947922,21037200,168.5123718261719,173.33875045776367,47.53637387710866,0.021596046347257758,1
2024-07-23,165.56224060058594,167.23910267439553,163.75861828040763,165.17226056789534,11690700,165.34970397949218,173.43673095703124,44.89406499782275,0.0027753499755134303,0
2024-07-24,155.79347229003906,161.3018086526218,155.58873089746854,160.9508340340854,19536600,163.12687072753906,172.8127769470215,31.343539424094814,-0.05900360054992093,1
2024-07-25,156.2614288330078,159.30319885220436,148.2962703780194,154.1945866277812,25731800,160.8669921875,172.23805618286133,30.172275687170895,0.00300369801179845,1
2024-07-26,157.8798065185547,160.46335917598833,155.19875513297674,160.18063666631753,13089200,160.1201934814453,171.76570358276368,29.008678814150002,0.010356859639856442,0
2024-07-29,155.99819946289062,159.13746832072775,154.65280914968784,158.6012550295658,12663100,158.2990295410156,171.0930046081543,29.097748314953478,-0.01191797163396524,0
2024-07-30,150.66534423828125,157.1096179579646,148.72524732668245,156.41742751126563,22018000,155.31965026855468,170.22580642700194,18.290758992374492,-0.03418536395272931,1
2024-07-31,161.64305114746094,162.47173094878832,158.00657419288459,159.66394867175873,19860400,156.48956604003905,169.74321823120118,34.98717219614666,0.07286152608404861,0
2024-08-01,154.2140655517578,163.46613532653038,152.90766592690676,159.3811856421195,21095600,156.08009338378906,168.55819244384764,28.24757038835972,-0.04595920172854162,0
2024-08-02,146.10269165039062,150.00240314259247,143.20715467733325,147.45784079888202,31095300,153.72467041015625,166.89447860717775,25.860196533313726,-0.05259814578096844,0
2024-08-05,144.24058532714844,146.23919057356443,130.2211317066588,130.5038542628977,31193100,151.3731475830078,165.00896911621095,24.377757465383823,-0.012745188348056047,1
2024-08-06,151.49400329589844,153.75584253009768,144.01631018533948,146.66811451967618,24528100,151.53887939453125,163.5889862060547,38.18911116089406,0.050286942141136715,0
2024-08-07,151.15281677246094,158.57201877005073,150.64586496963042,157.49960699370678,22379000,149.44083251953126,161.83362884521483,37.36675834342717,-0.0022521454051952494,1
2024-08-08,160.42434692382812,160.6193294775411,151.64023932358057,155.2767301494858,18889600,150.68288879394532,160.86113739013672,49.128788471468134,0.061338785140366614,1
2024-08-09,162.92991638183594,163.5928749694115,159.1472069306943,162.14998610405266,20519400,154.04833374023437,159.8749969482422,48.38427937694478,0.015618386523321703,1
2024-08-12,163.42713928222656,165.27949600901425,161.3895290313003,161.83800233028091,14727300,157.88564453125,159.01754837036134,48.41418324872682,0.0030517593787096065,1
2024-08-13,168.01904296875,168.12628561508853,162.1694765347576,163.7878601517875,15243500,161.1906524658203,158.3497215270996,59.83683341415953,0.028097558989841787,0
2024-08-14,165.70848083496094,168.184790923525,162.99818271687033,167.5705965198716,11510300,164.1017852783203,158.2897636413574,57.382308177699464,-0.013751787255560144,1
2024-08-15,169.59844970703125,171.04133871183862,166.53717695460298,168.10679645987898,15393500,165.93660583496094,158.39164505004882,58.84345853312861,0.023474772398309307,1
2024-08-16,170.1638946533203,170.61236799472803,167.93131649766804,169.04273361412783,10710000,167.3834014892578,158.81914978027345,60.90678416324455,0.0033340219044797337,1
2024-08-19,171.0510711669922,171.0510711669922,166.81014437018757,170.37836863770576,11511000,168.90818786621094,159.1165023803711,66.84933580019901,0.005213658957908374,0
2024-08-20,167.72657775878906,171.0023358710578,165.59149830162426,171.0023358710578,13555500,168.84969482421874,159.22471923828124,55.75645166134178,-0.01943567722506412,0
2024-08-21,167.14161682128906,168.74049774562556,165.64997854513075,166.08869305996254,9434800,169.13632202148438,159.79212646484376,64.05262777272435,-0.003487586435712342,0
2024-08-22,162.2669677734375,168.93546963026523,161.89649048931952,167.68756337201265,13546100,167.67002563476564,160.09240341186523,68.90107952947758,-0.029164783376863124,1
2024-08-23,166.98565673828125,168.94525654652756,163.70989825766875,164.76282222031776,12189100,167.0343780517578,160.54769592285157,74.93059971413672,0.029079787646196342,0
2024-08-26,164.83103942871094,166.76139218021234,163.6123797589874,166.10819238238653,9611300,165.79037170410157,160.98933792114258,66.45817218287661,-0.012903008268232763,1
2024-08-27,166.27394104003906,166.30318768425383,160.90207928392093,162.2474844226713,9186000,165.49984436035157,161.76976776123047,68.16583003004853,0.00875382219470966,0
2024-08-28,164.95777893066406,168.14579696617233,162.03299556353804,167.024635959261,10581400,165.06307678222657,161.9355041503906,56.73328876247891,-0.00791562466819784,0
2024-08-29,164.90904235839844,171.0218442352189,163.3101612553888,164.42157842606358,13213200,165.59149169921875,162.47025299072266,53.17091512184055,-0.00029544876623310845,1
2024-08-30,167.39511108398438,167.91182166122172,164.51907686368517,165.79622998388382,9481400,165.6733825683594,163.53487396240234,55.97652093373874,0.015075393623249278,0
2024-09-03,156.46615600585938,164.4508015809133,155.79345349513454,163.78785786822107,18464400,164.00040588378906,164.1461524963379,35.38844244768147,-0.06528837674740573,1
2024-09-04,156.8366241455078,159.77116622678122,154.96476462960752,155.30599529643092,11317400,162.11294250488282,164.41328353881835,38.20021317409407,0.0023677205927814526,1
2024-09-05,159.59568786621094,160.4633730674291,157.0121349851171,157.48984011621448,10260600,161.0405242919922,164.83542709350587,36.28345174232162,0.017591960651635485,0
2024-09-06,152.88819885253906,161.2628258574645,152.09849476560396,160.755859189316,14964400,158.6363555908203,164.4586196899414,29.72547064528652,-0.04202800904805626,1
2024-09-09,158.69876098632812,159.01074505218944,156.23219461096087,156.72940248018094,10339000,156.89708557128907,164.247061920166,37.005178209846406,0.03800530176559502,0
2024-09-10,158.35752868652344,158.80600205764904,153.7363800479703,158.80600205764904,11910800,157.27536010742188,163.99358139038085,39.48350821711715,-0.0021501888085571075,1
2024-09-11,165.96194458007812,166.10819266642503,157.37283359337425,159.69316636888487,15059500,159.10042419433594,163.89072647094727,48.856108914896254,0.048020551701132064,1
2024-09-12,167.74874877929688,168.4532888776036,165.37093714585598,166.93658512678775,13399900,160.7310363769531,163.99273986816405,55.65409920382356,0.010766348898476608,1
2024-09-13,168.79576110839844,171.01701965268458,167.76830566325293,168.54134968425134,8787800,163.912548828125,163.9526054382324,52.0200033579595,0.006241550752066116,0
2024-09-16,165.44920349121094,166.89741801474992,163.1888104701731,166.26138198870976,12194300,165.26263732910155,163.71687088012695,50.67196961805614,-0.01982607617165444,0
2024-09-17,163.75636291503906,166.5843029904208,162.7876166173773,165.71341528363888,8629100,166.3424041748047,163.3521354675293,47.278080191315695,-0.010231784381251496,0
2024-09-18,163.68789672851562,167.91513798816027,163.41391052810843,164.84256565691283,9116000,165.8875946044922,163.15020141601562,48.588978149786726,-0.000418097869937184,1
2024-09-19,172.43589782714844,173.9623963957608,168.92299215564617,170.63541310166337,15855000,166.8250244140625,163.4149154663086,57.00851456091077,0.05344317615090266,0
2024-09-20,170.3418426513672,172.24018586794188,169.92106862127207,171.11487177950718,18429800,167.13424072265624,163.81865921020508,52.76398135142353,-0.012143963073630748,1
