title,date,push,boo,score,targets,url,body,text_sentiment,push_sentiment,combined_sentiment
[情報] 0907 上市外資買賣超排行,Mon Sep  7 16:22:04 2026,77,8,69,"0050,00919,2330",https://www.ptt.cc/bbs/Stock/M.1788769326.A.387.html,"作者saber50116 (Catdog)看板Stock標題[情報] 0907 上市外資買賣超排行時間Mon Sep 7 16:22:04 2026 1. 標題：外資買賣超排行 2. 來源：台灣證交所 3. 網址：https://bely.cc/BCf6y3 4. 內文： 買超 1 2409 友達 156,579 2 6770 力積電 112,644 3 00403A 主動統一升級50 112,008 4 00981A 主動統一台股增長 55,753 5 2344 華邦電 47,386 6 3481 群創 44,175 7 0050 元大台灣50 43,969 8 2303 聯電 38,568 9 00406A 主動中信台灣收益 19,936 10 3711 日月光投控 18,355 11 00991A 主動復華未來50 18,340 12 2330 台積電 16,135 13 00400A 主動國泰動能高息 14,895 14 2408 南亞科 13,693 15 00891 中信關鍵半導體 10,452 16 4958 臻鼎-KY 9,974 17 3006 晶豪科 9,409 1",0.9099,0.0954,0.5841
[情報] 3034 聯詠 8月營收,Mon Sep  7 16:43:35 2026,11,1,10,0050,https://www.ptt.cc/bbs/Stock/M.1788770617.A.BD0.html,"作者GoToCHT (貳肆壹貳)看板Stock標題[情報] 3034 聯詠 8月營收時間Mon Sep 7 16:43:35 2026 https://mopsov.twse.com.tw/ 本資料由 (上市公司)聯詠 公司提供 民國115年08月 單位：新台幣仟元 項目 營業收入淨額 本月 10,327,444 去年同期 8,174,953 增減金額 2,152,491 增減百分比 26.33 本年累計 72,429,177 去年累計 69,567,636 增減金額 2,861,541 增減百分比 4.11 備註 / 營收變化原因說明 yoy +26.33% mom +0.26% 連續三個月破百億 -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.183.126 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1788770617.A.BD0.html ※ 編輯: GoToCHT (114.136.183.126 臺灣), 09/07/2026 16:44:48 推 gn005066 : 不如螃蟹 09/07 16:4",0.8813,0.0138,0.5343
[新聞] 全國空屋率跌破10%是假象！高雄11.9萬宅,Mon Sep  7 17:08:19 2026,176,15,161,"0050,2330,TSM",https://www.ptt.cc/bbs/Stock/M.1788772101.A.026.html,"作者Gavatzky (My Prince)看板Stock標題[新聞] 全國空屋率跌破10%是假象！高雄11.9萬宅時間Mon Sep 7 17:08:19 2026 全國空屋率跌破10%是假象！高雄11.9萬宅登「空屋王」 台南10.92%六都最高 專家：投 資客套牢寧空不租 賣厝阿明 2026年9月7日週一 下午3:34 【M傳媒／調查報導】 內政部最新統計出爐，2025年下半年全國空屋率跌破10%大關，看似「空屋問題改善了」 。但數字拆開來看，真相恐怕沒那麼樂觀。 根據內政部公布的低度使用（用電）住宅統計，2025年下半年全國低度使用住宅共89萬 4,582宅，占全國房屋稅籍住宅類宅數比率9.44%，較2025年上半年的98萬609宅、10.43% 減少8萬6,027宅。空屋率跌破10%，但89.5萬戶空屋依然矗立在全台各地。 高雄市以11.9萬空屋宅數首度超越新北市，正式登上「全台空屋王」寶座。台南市則以 10.92%的空屋率居六都之冠。而20坪以下小宅空屋率高達16.77%，50年以上老屋更首次超 越新屋成為空置率最高的屋齡區間。 高雄11.9萬宅登「空屋王」！台南10.92",0.8598,0.2227,0.605
[情報] 0907 上市櫃外資投信買超金額排行,Mon Sep  7 18:40:21 2026,2,0,2,2330,https://www.ptt.cc/bbs/Stock/M.1788777623.A.0A6.html,"作者steveisaman (who is the man)看板Stock標題[情報] 0907 上市櫃外資投信買超金額排行時間Mon Sep 7 18:40:21 2026 外資 排行 股票名稱 收盤價 漲跌 買超(百萬) 1 2330台積電 2460 +50 39,495 2 2454聯發科 4760 +345 13,768 3 3711日月投 621 +33 11,347 4 2344華邦電 180 +6 8,569 5 6770力積電 72.9 +4.4 8,126 6 2408南亞科 517 +21 7,080 7 2303聯電 143 +13 5,429 8 4958臻鼎-KY 501 +38 4,930 9 2409友達 28.7 +1.9 4,462 10 2327國巨* 589 +27 3,798 資料來源：https://reurl.cc/3klr9V 投信 排行 股票名稱 收盤價 漲跌 買超(百萬) 1 2454聯發科 4760 +345 4,309 2 2303聯電 143 +13 2,092 3 3529力旺 2570 +185 1,535 4 2357華碩 ",0.8873,0.0028,0.5335
[新聞] 鑽石恆久遠？價格崩盤　De Beers起家厝礦,Mon Sep  7 13:52:49 2026,187,15,172,"0050,2330",https://www.ptt.cc/bbs/Stock/M.1788760371.A.71E.html,作者troy30408 (南宮洛)看板Stock標題[新聞] 鑽石恆久遠？價格崩盤 De Beers起家厝礦時間Mon Sep 7 13:52:49 2026 原文標題：鑽石恆久遠？價格崩盤 De Beers起家厝礦場關門 原文連結：https://www.setn.com/news/1902773 發布時間：2026/09/07 12:07:00 記者署名：林浩博 原文內容： 「鑽石恆久遠，一顆永流傳。」（The Diamond is Forever）這句經典廣告台詞，79年來 洗腦無數消費者相信鑽石是「堅貞愛情的象徵」，讓鑽戒幾乎成為婚戒的不二選擇。但即 使是教科書等級的成功行銷案例，也禁不住人工培育鑽石所掀起的價格革命。十年間鑽石 價格腰斬，就連當初創造該金句的鑽石業龍頭戴比爾斯（De Beers），都在7月13日無預 警關閉發跡的礦場，超過1200名工人瞬間失業。 起家厝礦場無預警關門！1200人頓時段生計 寡婦絕望大喊：「只有這工作能養活一家」 《華爾街日報》記者韋克斯勒（Alexandra Wexler）親自造訪這座威尼西亞礦場（ Venetia）所在的南非小鎮穆西納（Mu,0.951,0.2379,0.6658
[閒聊] 2026/09/07 盤後閒聊,Mon Sep  7 14:00:00 2026,849,126,723,"0050,2330",https://www.ptt.cc/bbs/Stock/M.1788760803.A.3C5.html,"作者laptic (嶼天聖林)看板Stock標題[閒聊] 2026/09/07 盤後閒聊時間Mon Sep 7 14:00:00 2026 台 股 47326.27 ▲775.14 (+1.67%) 9399.26億 台指09 47470 ▲761 (+1.63%) 42,750口 櫃買指 409.33 ▲ 6.85 (+1.70%) 2016.21億 日盤 台指期 自營商 -1,346 投信 -728 外資 +1,344 台指選 自營商 +1,586 投信 -297 外資 +495 上市 漲停家數 (+10%) 11 (聯電、尖點、禾伸堂、偉詮電、大量、台虹、聯友金屬-創、致茂 、統新、國慶科技、兆勁) 跌停家數 (-10%) 3 (大立光、沛爾生醫*-創、健和興) 上櫃 漲停家數 (+10%) 20 跌停家數 (-10%) 1 成交量排行：友達、聯電、主動統一升級50、群益臺灣加權正2、元大台灣50正2 成交值排行：聯發科、台積電、聯電、國巨*、南亞科 資料來源：臺灣證券交易所、臺灣期貨交易所、中央社 -- 晶圓代工漲聲狂，聯電雄風勢莫擋。 千億成交開俏板，欣然喜氣滿台坊。 （此文",0.7873,1.0,0.8724
[情報] 3443 創意 115年8月營收,Mon Sep  7 14:33:05 2026,13,0,13,"0050,2330",https://www.ptt.cc/bbs/Stock/M.1788762787.A.94A.html,"作者rz2x (弗朗西爾我婆)看板Stock標題[情報] 3443 創意 115年8月營收時間Mon Sep 7 14:33:05 2026 標題： 3443 創意 115年8月營收 來源： 公開觀測資訊站 網址： https://mopsov.twse.com.tw/mops/web/t146sb05 內文： 本年迄今累計營收 去年同期累計營收 累計營收成長率 36,953,633 18,128,582 103.84% 115年08月營收 去年同期月營收 月營收成長率 5,840,094 2,767,549 111.02% 115年07月營收 去年同期月營收 月營收成長率 5,769,170 2,232,812 158.38% 115年06月營收 去年同期月營收 月營收成長率 4,928,512 2,419,270 103.72% 115年05月營收 去年同期月營收 月營收成長率 4,674,012 2,013,507 132.13% MOM：2.56% YOY：111.02% ---------------------------------------- 5樓幫算本益比 還有世芯",0.9393,0.018,0.5708
[標的] MU US,Mon Sep  7 14:38:54 2026,12,0,12,"2330,TSM",https://www.ptt.cc/bbs/Stock/M.1788763136.A.70D.html,"作者a809b43376 (阿倫)看板Stock標題[標的] MU US時間Mon Sep 7 14:38:54 2026 標的：(例 2330.TW 台積電) 美光MU 分類：多/空/討論/心得 (請選擇並刪除無關分類) 討論 分析/正文： 我自己一直都有陸陸續續分批買MU，不過中間都是買買賣賣的 前陣子回檔的時候覺得可以再買一點，所以又補了大概1000U 想說先放著，後面如果還有回檔再繼續補 但目前看起來感覺好像還是買早了一點XD 因為月中還有聯準會利率決策，月底又要財報 手上其實還有一些資金可以加碼，但又怕現在追進去之後再被洗一波 所以現在有點猶豫要不要先留著，等聯準會跟財報過了再看 還是繼續分批買，先買一點再說 進退場機制： (喊多喊空者，必須有停損機制。 長期投資、討論、心得類免填) -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.188.29 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1788763136.A.70D.html → newstar13579: 感覺9月會一直洗來洗去 逢低撿不要一次買滿應",0.9501,0.0166,0.5767
[新聞] 台股上看54K！高盛喊加碼台灣 鎖定半導體,Mon Sep  7 14:40:50 2026,73,1,72,2330,https://www.ptt.cc/bbs/Stock/M.1788763253.A.773.html,"作者DrowningPool (My broken dreams)看板Stock標題[新聞] 台股上看54K！高盛喊加碼台灣 鎖定半導體時間Mon Sep 7 14:40:50 2026 原文標題： 請勿刪減或自創標題，違者4-1處分，此行請刪除 台股上看54K！高盛喊加碼台灣 鎖定半導體等5產業 台企今明年獲利預估曝光 原文連結： 網址超過一行，請用縮網址，連結不能點擊者板規 1-2-2 處分。 https://www.ctee.com.tw/news/20260907700039-439901 發布時間： 請勿張貼超過3天新聞 2026-9-7 記者署名： 簡威瑟 原文內容： 高盛亞太區首席股票策略師慕天輝（Timothy Moe）指出，基於整體有利的總經環境、以 科技業為主的強勁獲利成長、普遍具吸引力的估值，以及部分市場投資人部位已從先前偏 高水準回落等四大因素，持續看好亞股、尤其是北亞市場，台股憑藉強大企業獲利動能， 未來12個月高點預期上看54,000點。 台股加權指數近期雖在46,000～47,000點間震盪，但因為美國聯準會是否升息的變數擺在 眼前，成交量能始終無法有效放",0.7553,0.0996,0.493
[情報] 0907 上市投信買賣超排行,Mon Sep  7 15:06:39 2026,38,8,30,"0050,0056,00919,2330",https://www.ptt.cc/bbs/Stock/M.1788764801.A.15B.html,"作者saber50116 (Catdog)看板Stock標題[情報] 0907 上市投信買賣超排行時間Mon Sep 7 15:06:39 2026 1. 標題：投信買賣超排行 2. 來源：富邦證券 3. 網址：https://tinyurl.com/2p9axfsj 4. 內文： 買超 1 2887台新新光金 15,310 2 2303聯電 14,860 3 2884玉山金 8,972 4 6770力積電 7,427 5 2883凱基金 7,322 6 2892第一金 6,620 7 1303南亞 5,483 8 2801彰銀 4,234 9 2891中信金 3,535 10 2027大成鋼 3,092 11 3231緯創 2,948 12 0056元大高股息 2,860 13 00982A主動群益台灣強棒 2,774 14 4958臻鼎-KY 2,722 15 2542興富發 2,705 16 0050元大台灣50 2,700 17 4938和碩 2,684 18 2618長榮航 1,951 19 2481強茂 1,940 20 2633台灣高鐵 1,609 21 2449京元電子",0.9103,0.0415,0.5628
[新聞] 瑞昱：開發WiFi 9技術　邁向 ASIC 勢在,Mon Sep  7 15:26:09 2026,24,6,18,2330,https://www.ptt.cc/bbs/Stock/M.1788765971.A.85C.html,作者AnimalSpirit (動物本能)看板Stock標題[新聞] 瑞昱：開發WiFi 9技術 邁向 ASIC 勢在時間Mon Sep 7 15:26:09 2026 瑞昱：開發WiFi 9技術 邁向 ASIC 勢在必行 https://money.udn.com/money/story/5612/9739359 2026/09/07 14:36:45 中央社 記者張建中 網通晶片廠瑞昱董事長邱順建獲選工研院院士，他表示，AI蓬勃發展，整體產業景氣非常 好，只是消費市場等可能面臨產能資源排擠問題。瑞昱除開發WiFi 9技術，並將朝向特殊 應用晶片（ASIC）發展，這是必然趨勢。 工研院今天舉行院士授證典禮，總統賴清德出席為3名新科院士邱順建及台積電執行副總 經理暨共同營運長秦永沛和台北榮民總醫院院長陳威明授證。 邱順建受訪說，瑞昱已開始量產WiFi 7晶片，很快就會邁入WiFi 8世代，目前也已投入 WiFi 9技術開發，技術會不斷往前推進。 至於光通訊方面，邱順建表示，光通訊是人工智慧（AI）非常重要的核心，業界積極投入 ，瑞昱正積極建立相關矽智財（IP）和產品。 媒體問瑞昱是否會,0.8831,0.0249,0.5398
[新聞] 提防1997年亞洲金融風暴重現？滙豐報告,Sun Sep  6 18:13:40 2026,47,6,41,0050,https://www.ptt.cc/bbs/Stock/M.1788689622.A.01B.html,作者leepingyo (御前一品帶刀龍侍衛)看板Stock標題[新聞] 提防1997年亞洲金融風暴重現？滙豐報告時間Sun Sep 6 18:13:40 2026 原文標題： 請勿刪減或自創標題，違者4-1處分，此行請刪除 提防1997年亞洲金融風暴重現？滙豐報告示警：市場浮現三大「危險特徵」 原文連結： 網址超過一行，請用縮網址，連結不能點擊者板規 1-2-2 處分。 https://www.storm.mg/article/11162238 發布時間： 請勿張貼超過3天新聞 9/6 記者署名： 原文內容： 1997年爆發的亞洲金融風暴（The 1997 Asian financial crisis），曾引發區域內多個 經濟體，陷入嚴重衰退，市場籠罩於貨幣崩潰、資本外逃與銀行倒閉的陰霾之中。滙豐銀 行（HSBC）亞洲首席經濟學家范力民（Frederick Neumann）在最新發布的報告中警告， 當前亞洲的金融環境，與金融危機前夕呈現出數個極為相似的特徵。 范力民指出，在1997年危機爆發之前，美國公債殖利率飆升、日圓走勢疲軟以及對新科技 的過度樂觀，主導了當時的金融市場環境。而如,0.9258,0.0567,0.5782
[請益] 金融股如果以PB當作停利策略,Sun Sep  6 19:06:34 2026,42,4,38,0050,https://www.ptt.cc/bbs/Stock/M.1788692796.A.F6A.html,"作者im609 ()看板Stock標題[請益] 金融股如果以PB當作停利策略時間Sun Sep 6 19:06:34 2026 最近在想金融股的停利方式 想請教大家 以華票為例 9/4 收盤17.1，PB約0.82倍，每股淨值20.76 如果單純看PB： PB 0.8 → 16.6元：買進 PB 1.0 → 20.8元：續抱 PB 1.2 → 24.9元：開始停利 PB 1.4 → 29.1元：再賣一批 PB 1.6 → 33.2元：大幅減碼 PB 2.0 → 41.5元：高估值 想法是 PB 1.2開始停利 因為認為已從低估區進入合理偏高區 先落袋一部分，剩下繼續抱 但金融股真的只看PB就可以嗎？ 還是應該搭配ROE、EPS？ 另外 如果未來金融股也吃到AI紅利 PB有沒有機會一路往1.5～2倍？ 想請教大家會怎麼設定金融股的進場、停利點？ -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.140.12.180 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1788692796.A.F6A.html → Feting : .",0.8943,0.0526,0.5576
