title,date,push,boo,score,url,body
[新聞]  第1季GDP成長14.55％創48年新高 預估,Fri May 29 20:10:06 2026,167,10,157,https://www.ptt.cc/bbs/Stock/M.1780056608.A.F69.html,作者GNZ48 (廣州48)看板Stock標題[新聞] 第1季GDP成長14.55％創48年新高 預估時間Fri May 29 20:10:06 2026 原文標題： 第1季GDP成長14.55％創48年新高 預估全年出口近9000億美元 原文連結： https://ec.ltn.com.tw/article/breakingnews/5454245 發布時間： 2026/05/29 18:22 記者署名： 鄭琪芳 原文內容： 〔記者鄭琪芳／台北報導〕主計總處今公布第1季GDP初步統計14.55%、創近48年新高；預測 今年GDP成長9.64%、創16年新高。主計總處官員表示，主要是AI需求超乎預期，今年商品出 口上修1114億美元、達8945億美元，出口增幅39.77%創50年最高，加上民間投資及消費均優 於預期，因此今年GDP再度上修。 根據主計總處統計，今年第1季GDP（國內生產毛額）上修至14.55％、為近48年新高，較4月 概估數上修0.86個百分點；預估第2至4季GDP成長10.83%、9.44%及4.65%，全年GDP成長9.64 ％、上修1.93個百分點；每人GDP為4
[請益] 正二轉換導致資金空窗的損失計算請益,Fri May 29 20:51:24 2026,31,7,24,https://www.ptt.cc/bbs/Stock/M.1780059086.A.006.html,"作者Pheromone (費洛蒙抗體)看板Stock標題[請益] 正二轉換導致資金空窗的損失計算請益時間Fri May 29 20:51:24 2026 想將部份00631L換到00685L 有92張00631L在元大證金質押 5/26(二)直接用證金系統以34.5元賣出 取得3,174,000元 5/26(二)00685L的收盤價為274.9元 如果直接換，可以買到11,546股00685L 但是第一次在不同券商買賣股票換倉 因為不確定證金交割款入帳時間 怕違約交割 又有點想賭隔天可能會再跌 直到5/27(三)才在永豐系統 以286元買入00685L十張 以292元買入00685L一張 共計11,000股 平均每股286.54元 5/27(三)00631L的收盤價為35.73元 這樣資金空窗一天的損失計算 1.以資金變化來看，賣低買高 損失00631L在5/27(三)的漲幅 (35.73-34.5)× 92000=113,160 高買00685L在5/27(三)的漲幅 (286.54-274.9)× 11000=128,040 共計241,200元 2.以股數來看，少買了546股 ("
[新聞] 迎接Vera Rubin　黃仁勳：在台AI超級電腦,Fri May 29 21:20:33 2026,8,0,8,https://www.ptt.cc/bbs/Stock/M.1780060836.A.642.html,作者htjnt (foret)看板Stock標題[新聞] 迎接Vera Rubin 黃仁勳：在台AI超級電腦時間Fri May 29 21:20:33 2026 原文標題： 迎接Vera Rubin 黃仁勳：在台AI超級電腦產能倍增 原文連結： https://www.cna.com.tw/news/afe/202605290299.aspx 發布時間： 2026/5/29 19:17（5/29 21:12 更新 原文內容：中央社記者吳家豪台北29日電）輝達（NVIDIA）執行長黃仁勳今天表示，為了迎接下一代Vera Rubin架構，輝達今年在台灣的人工智慧（AI）超級電腦產能將倍增；AI已經將電腦產業轉化為國家級的基礎設施，未來每個國家、每家公司都將擁有自己的AI基礎建設。 黃仁勳今晚在南港展覽館2館主持NVIDIA AI Factory MGX Ecosystem Ceremony活動，感謝打造MGX模組化伺服器的供應商，現場超過30家廠商集結，外商美光、意法半導體、西門子也派出高層到場。 印在現場展示牆上的「輝達背板股」，包括雙鴻、奇鋐、貿聯-KY、可成、勤誠、台達電、台光電、光
[情報] 115年05月29日信用交易統計,Fri May 29 21:31:31 2026,304,12,292,https://www.ptt.cc/bbs/Stock/M.1780061493.A.3D5.html,"作者steward135 (逆風高飛)看板Stock標題[情報] 115年05月29日信用交易統計時間Fri May 29 21:31:31 2026 1. 標題：115年05月29日信用交易統計 2. 來源：臺灣證券交易所、證券櫃檯買賣中心 (公司名、網站名) 3. 網址：https://reurl.cc/E2xlzv https://reurl.cc/V3AOXA (請善用縮網址工具) 4. 內文： 115年05月29日信用交易統計 項目 買進 賣出 現金(券)償還 前日餘額 今日餘 額 融資(交易單位) 771,775 568,244 7,405 9,113,116 9,309,24 2 融券(交易單位) 32,186 34,368 8,475 248,097 241,80 4 融資金額(仟元) 60,372,814 38,671,516 367,416 535,025,764 556,359,64 6 資增 213.34 億 券減 6,293 張 融資單日增加金額歷史新高 大盤單日融資增加排行(百億以上) 115年5月29日 213.34億 115年4月27日 111.37億 "
Re: [心得] 我在大盤21000信貸 all in 0050正二,Fri May 29 21:39:58 2026,71,1,70,https://www.ptt.cc/bbs/Stock/M.1780062000.A.E7E.html,"作者holysshit (shit)看板Stock標題Re: [心得] 我在大盤21000信貸 all in 0050正二時間Fri May 29 21:39:58 2026 最近也打算信貸 在一些地方問回應有點少 所以想說在當初給我貸款念頭的文章詢問意見 年收95 樂天 額度97萬 3.1% 中信300萬 4% 蠻想辦下去 但看到不少人說3、4%以上就很高不考慮 試算過 300萬 7年 4%比2.5% 一個月多付2000多 但如果買到好標的很容易就超過了吧？ 也有可能一開始跌，不過我已經持有半年 之前連跌10%也繼續抱著 只要能一直抱著 長期也不會出事吧 還是利率稍高一點，有其它我沒想到的問題？ ----- Sent from JPTT on my iPhone -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.165.171.101 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1780062000.A.E7E.html → thetide0512 : 樓下擦鞋童05/29 21:40 推 panjanhon : 當然選可以借"
[新聞] 立委持股「市值Top 10」王鴻薇1.87億只,Fri May 29 21:42:11 2026,66,12,54,https://www.ptt.cc/bbs/Stock/M.1780062133.A.114.html,作者icedog122 (冰狗)看板Stock標題[新聞] 立委持股「市值Top 10」王鴻薇1.87億只時間Fri May 29 21:42:11 2026 原文標題：立委持股「市值Top 10」王鴻薇1.87億只排第二 第一名身價破3億 原文連結：https://www.upmedia.mg/tw/focus/politics/259961 發布時間：2026年05月29日 12:23:00 記者署名：簡紹儒 原文內容： 台股近期強勢上攻，立委財產申報中的持股狀況也意外成為外界關注焦點。有民眾依據監 察院廉政公報資料，建置「立委持股」網站，整理各黨立委申報持股內容，並以每日收盤 價估算市值、製作排名。從目前網站統計來看，持股市值前10名立委中，國民黨籍占7人 、民進黨籍占3人，其中國民黨立委顏寬恆以3.18億元登上「股王」，同黨立委王鴻薇則 以1.87億元位居第二，成為「股后」。 不少立委近年積極布局股市，根據監察院財產申報制度，申報資料主要揭露持股標的與股 數，並以每股票面額10元計算，外界難以直接看出實際市場價值。因此，有民眾開發「立 委持股」網站，將監察院廉政公報中立委自行申
[新聞] 台化、新纖進軍特用化學！ 謝金河讚：傳,Fri May 29 21:47:07 2026,32,7,25,https://www.ptt.cc/bbs/Stock/M.1780062429.A.D44.html,作者addy7533967 (火爆刺香腸)看板Stock標題[新聞] 台化、新纖進軍特用化學！ 謝金河讚：傳時間Fri May 29 21:47:07 2026 原文標題： 台化、新纖進軍特用化學！ 謝金河讚：傳產終於醒了 原文連結： https://fnc.ebc.net.tw/fncnews/business/211727 發布時間： 2026/05/29 09:25 東森財經新聞 記者署名：東森財經新聞 原文內容： 台化與新纖宣布進軍特用化學，象徵傳產在AI革命中終於覺醒。他直言傳產不應再靠降低成 本或西進找解方，唯有技術翻轉與重新定位，才是對抗中國內捲壓力的上進之道。 傳產覺醒進軍特用化學市場 財信傳媒董事長謝金河28日在臉書發文表示，「山不轉，只有自己轉！」他在文中提及，台 化董事長洪福源在股東會上宣布轉型方案，將進軍特用化學品市場並參加台北COMPUTEX展， 看到這個消息也為台化感到高興。同一時間，吳東昇主持的新纖也宣布進軍特用化學品市場 。謝金河認為，蹲了很久的傳統產業看到AI帶動的產業革命，終於醒來，這是一個好的開始 。 重新定位迎戰中國內捲壓力 謝金河回憶他在202
[新聞] 法國第一季GDP下修轉負0.1%，航空出口疲,Fri May 29 22:09:33 2026,125,4,121,https://www.ptt.cc/bbs/Stock/M.1780063775.A.6B8.html,作者maple76226 (謝阿臣)看板Stock標題[新聞] 法國第一季GDP下修轉負0.1%，航空出口疲時間Fri May 29 22:09:33 2026https://ww2.money-link.com.tw/realtimenews/NewsContent.aspx?SN=2372614002&PU=001 0 國際財經：法國第一季GDP下修轉負0.1%，航空出口疲弱成拖累 財訊新聞 2026/05/29 【財訊快報／劉敏夫】外電報導指出，新出爐的修正數據顯示，今年第一季，法國經濟下修 成為負成長。 法國國家統計與經濟研究所(INSEE)週五發佈終值數據顯示，法國第一季經濟小幅萎縮。作 為歐元區第二大經濟體，法國第一季經濟增速不及此前初值的零增長。 INSEE公佈第一季國內生產毛額(GDP)季比值下滑0.1%，低於19位受訪經濟專家得出的零增長 預期中值。 INSEE表示，受航空裝備出口下滑拖累，法國出口額在前一季增長0.9%後，第一季下降3.5% 。 居民消費向來是法國經濟增長的主要動力。2025年第四季居民消費增長0.3%，而今年第一季 受能源消費走低影響，該指標回落0
[標的] 8422/可寧衛/垃圾變黃金,Fri May 29 22:47:40 2026,29,7,22,https://www.ptt.cc/bbs/Stock/M.1780066062.A.BE3.html,"作者onollll ( 胡聖明)看板Stock標題[標的] 8422/可寧衛/垃圾變黃金時間Fri May 29 22:47:40 2026 標的：8422/可寧衛 分類：多 分析/正文： 總部位於高雄岡山，主要經營有害事業廢棄物之清除處理業務，是台灣最大的處理廠、最 大一站式開挖清運及固化掩埋垂直整合之合法環保公司，其擁有台灣最大的固化體獨立分 區掩埋場，業務範圍主要集中在南區，佔9成。 南部的市場大還佔九成 真的要不賺錢都很難 完完全全就是閉著眼睛發大財 我相信未來政府單位會投入資金 給相關公司 畢竟環保綠能是長期且穩定的趨勢 進退場機制： 30塊以下隨便買 走長期投資 停利：60 停損：20 -- ※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 27.247.121.237 (臺灣) ※ 文章網址: https://www.ptt.cc/bbs/Stock/M.1780066062.A.BE3.html 推 filmdotcomm : 長期投資你自己買就好，不用特別貼出來 05/29 22:50 推 gtaped05550 : 笑死 年初到現在已經對折啦 05/29 22:"
[新聞] 聯發科股價狂飆還能追嗎？聯發科共同營運,Fri May 29 23:58:33 2026,30,2,28,https://www.ptt.cc/bbs/Stock/M.1780070315.A.5B9.html,作者GoToCHT (貳肆壹貳)看板Stock標題[新聞] 聯發科股價狂飆還能追嗎？聯發科共同營運時間Fri May 29 23:58:33 2026 聯發科股價狂飆還能追嗎？聯發科共同營運長顧大為回應了 https://ec.ltn.com.tw/article/breakingnews/5454378 記者卓怡君 IC設計龍頭聯發科（2454）因成功跨入AI ASIC業務，打進Google TPU供應鏈，股價一飛 衝天，股價短短不到兩個月狂飆逾一倍，甚至成為台股最大尾的處置股，被問及現在股價 是否太貴或是太便宜，聯發科共同營運長暨財務長顧大為表示，公司向來無法評論股價， 聯發科具有三大特點，首先具備穩定的現金流與現金股利，再來則是公司持續穩定成長， 最重要的是聯發科總能在產業轉折時抓到機會，投資人應以中長期角度來看，聯發科能給 予股東中長期的回報。 顧大為指出，若以中長期股東角度來看，主要看公司發展與投資回報，首先要有穩定的現 金流與現金股利，再來是公司發展，聯發科從最早期營收30-40億美元，後來跳到100億美 元，近年更進一步達到200億美元規模，公司一直持續發展往下走，更重要
